transaction_id,transaction_datetime,merchant_id,transaction_type,transaction_amount,transaction_status
cbd3ed39-86dd-49e2-9a12-c1f64db7a1a2,2025-03-18 14:03:21,M004,delivery,71.71,completed
5afee8e2-2fff-4a11-9aab-1a3421e632ab,2025-03-18 15:48:35,M004,delivery,1.13,completed
9ffd01da-7fd1-450a-8bbd-3bc37f6282b1,2025-03-18 17:53:03,M003,takeaway,59.07,completed
4bcf322c-460a-4a70-9b28-e31a60ce0de0,2025-03-18 18:07:43,M004,dine_in,47.42,completed
090f7a3b-7b0e-40d6-ba34-3ca65cf154f6,2025-03-18 18:10:13,M002,takeaway,94.46,pending
98611fb1-fc07-46ed-833f-4f9563e99c45,2025-03-18 18:43:54,M002,takeaway,6.76,completed
6ec9e4eb-c4d0-4adc-a59d-9e13ca309a59,2025-03-18 21:52:01,M004,takeaway,83.03,completed
c9754e22-5314-4f4d-95fb-757acf05b62e,2025-03-19 00:51:52,M003,delivery,58.3,completed
f6e6b6e5-011d-46f8-b1c9-0ae095fa09fb,2025-03-19 01:25:16,M003,dine_in,61.72,failed
16a348df-1aa2-4a0b-9df1-db9812a73810,2025-03-19 01:45:34,M003,dine_in,79.78,completed
3c77027e-dbcb-4874-b6ab-747954ca5def,2025-03-19 03:24:34,M002,dine_in,53.79,pending
58eccd9c-671f-4f2d-aaf9-9324579ac6fb,2025-03-19 04:55:36,M004,delivery,24.7,completed
88f6dd43-715e-487f-ba10-333fb3c7f9ea,2025-03-19 07:00:21,M005,takeaway,34.79,pending
a8b6bfdd-b402-4062-94be-1126398e98e4,2025-03-19 07:17:09,M003,takeaway,63.92,completed
e6b7d754-412c-4f59-8ef9-4c321ae57a47,2025-03-19 08:19:18,M003,takeaway,82.26,completed
4dfb7df9-d58f-457c-8084-632b2755c966,2025-03-19 08:45:12,M001,takeaway,30.79,completed
3d3cb8f1-ba44-4fbc-b8ac-8a8e78a686ee,2025-03-19 09:59:33,M003,dine_in,9.139237974944715,completed
c17196bb-efb6-499f-bbbb-af2c2117311d,2025-03-19 12:00:40,M001,dine_in,2.6715976480466708,completed
259da444-62c7-4477-bc86-1a13b2c317bc,2025-03-19 14:36:30,M004,dine_in,52.48,completed
2d1c522b-fb53-43db-a09a-e234f9600963,2025-03-19 14:38:52,M002,takeaway,30.12,completed
e68e30fd-880f-4aed-bf07-f4dc1994d138,2025-03-19 23:57:14,M003,dine_in,29.2,completed
15d51fa7-4a0f-4688-b6e1-9331e8215679,2025-03-20 00:39:03,M002,takeaway,3.349436736113633,completed
30a6c2f0-068a-402b-bf84-93acb4530518,2025-03-20 01:54:41,M005,delivery,41.81,completed
ace5314e-1b1e-4d83-b99c-67a95aa4ef4b,2025-03-20 02:56:21,M002,takeaway,57.98,completed
5f8b136e-3899-4d05-b9d7-f15276fc43ce,2025-03-20 04:11:39,M001,delivery,71.24,completed
acee0e6f-71db-4ace-832b-79ff3173ef42,2025-03-20 07:17:57,M003,delivery,61.86,completed
ecbc3b3c-7d92-48d2-958d-53c7a9cea0e8,2025-03-20 08:32:11,M005,takeaway,22.68,completed
9f726866-98b4-4fcf-b84c-fa1d63f09141,2025-03-20 11:46:10,M002,dine_in,3.97,completed
7b169236-e89a-474f-bfbc-f88eb0be0933,2025-03-20 12:36:30,M004,delivery,60.46,completed
aab85e34-8254-43a7-af54-27980678ef73,2025-03-20 14:36:37,M004,delivery,85.47,completed
6e14ca89-1d54-4110-98c1-d0313c62ae49,2025-03-20 17:24:09,M004,delivery,101.81,completed
028097f6-814d-446b-bad1-75f7f1aa177f,2025-03-20 20:13:55,M002,dine_in,67.47,pending
5cf5c220-1f51-4a87-95ca-8e4515052636,2025-03-21 00:26:02,M001,dine_in,11.56,completed
45ee278c-6981-49b1-8f69-ad7b65e800b4,2025-03-21 00:44:50,M002,dine_in,34.17,completed
5312ec25-fae2-492c-8df6-9503502aab8d,2025-03-21 01:57:24,M003,dine_in,15.99,pending
